envi;LAT;LON;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;ALT;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E01;-13.983;33.633;20.038;22.733;16.417;916;232;0;115.582;618;3;283;3;12.692;59.031;255.7;29.8;8.3;21.5;21.683;16.417;1141;31.22375;20.93166667;2.203333333;67.26958333;20.81166667;13.31541667;30.60166667;12.16541667;2.39;1.399999976;1.399999976;1.399999976;1.399999976;1;2;3;1;24;31;20;1.299999952;1;0.699999988;1.200000048;2.200000048;1.600000024;1;1.899999976;6;5.900000095;6;5.900000095;70;66;60;70;2.900000095;17.60000038;361.3999939;10;9;9;10;15.69999981;12.30000019;7.699999809;14.60000038;221;256;269;234;220;224
E02;-9.926;33.909;24.542;26.433;22.3;1125;286;1;107.186;646;4;249;8;9.267;61.778;160.494;31.8;16.8;15;25.1;22.95;491;31.07458333;19.98458333;3.44;68.08416667;22.96375;15.96708333;30.36416667;16.58083333;2.54625;1.299999952;1.299999952;1.399999976;1.299999952;1;1;2;1;24;29;21;1.100000024;0.699999988;0.600000024;0.899999976;1.899999976;1.200000048;1;1.399999976;6;6;6;6;71;68;62;70;2.599999905;17.29999924;400;9;9;9;9;12;6.800000191;6.400000095;9.300000191;257;313;316;275;253;257
E03;-10.933;33.683;20.167;22.617;16.933;884;195;1;104.187;532;7;260;7;11.367;57.699;227.809;29.6;9.9;19.7;21.617;16.933;1242;30.72916667;20.38583333;3.437083333;75.565;19.73333333;14.59875;27.9175;13.24791667;2.677083333;1.299999952;1.299999952;1.299999952;1.299999952;4;8;9;5;30;34;25;1.399999976;0.800000012;0.600000024;1.100000024;2.299999952;1.5;0.699999988;1.899999976;5.900000095;5.800000191;5.800000191;5.800000191;65;60;57;65;2.099999905;14.10000038;359.1000061;11;9;9;10;17.29999924;10.10000038;6.699999809;14.10000038;209;244;257;222;199;206
E04;-12.95;33.683;20.546;23.167;17.15;889;220;0;120.656;612;2;249;2;11.725;57.475;241.261;30;9.6;20.4;22;17.15;1095;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;17;20;14;1.100000024;0.800000012;0.5;1.100000024;1.799999952;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.5;6.300000191;79;76;74;79;1.5;11.39999962;361.5;7;7;7;7;15.30000019;7.400000095;5.900000095;13.10000038;221;272;270;238;209;228
E05;-12.933;33.467;21.042;23.767;17.517;846;207;0;121.264;594;2;250;2;12.383;57.866;250.425;30.8;9.4;21.4;22.55;17.517;1030;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.5;1.5;1.5;1.5;1;2;4;1;18;21;13;1.299999952;0.899999976;0.600000024;1.100000024;1.899999976;1.299999952;0.699999988;1.5;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;2;14;353.5;7;6;6;7;16.70000076;7.800000191;5.900000095;13.19999981;226;269;281;245;223;231
E06;-13.417;33.617;20.396;22.983;17;838;224;0;122.886;595;2;235;3;12.175;58.534;239.834;29.8;9;20.8;21.883;18.467;1111;31.22375;20.93166667;2.16;68.42125;21.04916667;13.95333333;30.19708333;12.8375;2.582083333;1.399999976;1.5;1.5;1.5;2;3;6;2;16;21;13;1.399999976;0.800000012;0.699999988;1.200000048;2.099999905;1.299999952;0.800000012;1.799999952;6.199999809;6.199999809;6.300000191;6.199999809;78;77;72;79;2.5;16.70000076;374.5;7;7;7;7;18;9.699999809;8.800000191;16.70000076;220;276;272;237;211;220
E07;-15.922;35.073;19.313;21.5;15.917;1193;248;10;95.092;695;44;363;54;10.625;58.702;237.287;27.9;9.8;18.1;21.133;17.233;1173;32.48;20.54208333;3.461666667;63.77541667;24.23125;15.45083333;34.76791667;15.25333333;2.105833333;1.299999952;1.299999952;1.299999952;1.299999952;3;4;6;2;41;49;33;1.299999952;0.800000012;0.600000024;1;2.400000095;1.5;0.800000012;1.799999952;5.400000095;5.300000191;5.300000191;5.400000095;52;45;39;51;3;18.70000076;371.2999878;16;14;12;16;16.5;9.399999619;5.699999809;12.80000019;213;220;241;221;201;198
E08;-12.942;33.466;21.075;23.8;17.567;845;208;0;121.435;595;2;249;2;12.367;57.519;249.95;30.9;9.4;21.5;22.567;17.567;1023;30.88375;20.44041667;2.020416667;68.84;21.68666667;14.78833333;30.42375;13.81916667;2.3825;1.399999976;1.5;1.399999976;1.5;1;2;4;1;17;21;13;1.299999952;0.899999976;0.600000024;1.200000048;1.899999976;1.299999952;0.699999988;1.600000024;6.300000191;6.300000191;6.400000095;6.300000191;80;76;72;80;1.899999976;13.39999962;354.2000122;7;7;7;7;16.5;8.800000191;6;13.69999981;226;269;281;245;222;231
E09;-14.264;34.57;23.737;26.4;20.4;941;251;5;119.36;665;19;256;22;11.508;58.123;240.946;33.2;13.4;19.8;25.067;20.583;508;31.76375;20.68041667;2.70875;73.15541667;19.27625;13.44083333;29.25208333;10.69083333;1.563333333;1.399999976;1.399999976;1.5;1.399999976;3;6;6;4;23;26;19;1.200000048;0.800000012;0.699999988;1;1.899999976;1.100000024;0.600000024;1.5;6.199999809;6.099999905;6.199999809;6.099999905;74;69;67;74;1.899999976;14;363;7;7;7;7;13;8.5;5.400000095;11.5;256;290;309;268;253;258
E10;-13.672;32.66;21.154;24;17.983;987;240;0;118.472;677;0;99;5;12.625;57.386;242.379;31.8;9.8;22;21.967;18;1112;32.1625;21.12083333;1.985416667;59.97541667;23.04916667;13.28291667;33.13583333;14.17708333;2.8575;1.399999976;1.399999976;1.399999976;1.399999976;2;3;5;2;24;28;18;1.200000048;0.699999988;0.400000006;0.899999976;2.099999905;1.299999952;0.699999988;1.799999952;6.099999905;6.099999905;6.199999809;6.099999905;68;61;58;66;2.900000095;18.39999962;374.2000122;16;15;14;16;19;7.099999905;5.599999905;14.69999981;225;267;286;245;216;230
