env;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;ALT;LAT;LON;ALLSKY_SFC_LW_DWN;ALLSKY_SFC_SW_DWN;PRECTOTCORR;RH2M;T2M;T2MDEW;T2M_MAX;T2M_MIN;WS2M;bdod_0-5cm_mean_30s;bdod_15-30cm_mean_30s;bdod_30-60cm_mean_30s;bdod_5-15cm_mean_30s;cfvo_0-5cm_mean_30s;cfvo_15-30cm_mean_30s;cfvo_30-60cm_mean_30s;cfvo_5-15cm_mean_30s;clay_15-30cm_mean_30s;clay_30-60cm_mean_30s;clay_5-15cm_mean_30s;nitrogen_0-5cm_mean_30s;nitrogen_15-30cm_mean_30s;nitrogen_30-60cm_mean_30s;nitrogen_5-15cm_mean_30s;ocd_0-5cm_mean_30s;ocd_15-30cm_mean_30s;ocd_30-60cm_mean_30s;ocd_5-15cm_mean_30s;phh2o_0-5cm_mean_30s;phh2o_15-30cm_mean_30s;phh2o_30-60cm_mean_30s;phh2o_5-15cm_mean_30s;sand_0-5cm_mean_30s;sand_15-30cm_mean_30s;sand_30-60cm_mean_30s;sand_5-15cm_mean_30s;SBIO2_Mean_Diurnal_Range_5_15cm;SBIO3_Isothermality_5_15cm;SBIO4_Temperature_Seasonality_5_15cm;silt_0-5cm_mean_30s;silt_15-30cm_mean_30s;silt_30-60cm_mean_30s;silt_5-15cm_mean_30s;soc_0-5cm_mean_30s;soc_15-30cm_mean_30s;soc_30-60cm_mean_30s;soc_5-15cm_mean_30s;soilT_1_5_15cm;soilT_10_5_15cm;soilT_11_5_15cm;soilT_12_5_15cm;soilT_2_5_15cm;soilT_3_5_15cm
E001;19.692;20.833;18.05;1005;235;15;84.941;488;51;387;60;11.8;76.129;113.073;28;12.5;15.5;20.717;18.3;1518;-0.983;37.067;31.01916667;20.18541667;1.7375;67.80958333;19.31875;12.09125;29.13625;11.54208333;2.75;1.299999952;1.299999952;1.299999952;1.299999952;3;4;7;3;65;66;64;1.700000048;1.399999976;1.100000024;1.700000048;3.200000048;2;1.299999952;2.5;6;5.900000095;6;6;22;21;21;22;3.700000048;35.90000153;226.1999969;15;14;13;15;28.79999924;16.20000076;12.39999962;20.70000076;221;201;214;212;218;223
E002;19.696;21.117;17.917;669;155;10;78.787;325;36;257;43;12.325;72.5;126.212;28.8;11.8;17;20.6;18.183;1664;-1.517;36.85;30.905;21.24791667;1.22125;64.10208333;20.56208333;12.24125;30.6975;12.33333333;3.072916667;1.200000048;1.200000048;1.299999952;1.200000048;7;8;13;7;46;48;44;1.799999952;1.200000048;0.899999976;1.299999952;2.799999952;2;1.200000048;2.299999952;6.800000191;6.800000191;6.900000095;6.800000191;40;38;37;40;4;40.79999924;235.1000061;18;16;15;16;22.29999924;14.39999962;11.19999981;16.10000038;219;212;207;210;216;223
E003;18.438;19.833;16.517;828;176;15;73.315;403;56;182;69;12.042;72.54;134.065;27.5;10.9;16.6;19.233;16.833;2009;-1.367;36.633;30.905;21.24791667;1.22125;64.10208333;20.56208333;12.24125;30.6975;12.33333333;3.072916667;1.200000048;1.200000048;1.200000048;1.200000048;12;16;21;13;41;45;38;3;1.5;1.200000048;1.899999976;3.799999952;2.400000095;1.399999976;3;6.5;6.5;6.5;6.5;31;30;28;32;3.5;32.59999847;235.8000031;30;29;27;30;41.20000076;26.29999924;16.5;25.89999962;188;175;177;179;194;183
E004;19.692;20.833;18.05;1005;235;15;84.941;488;51;387;60;11.8;76.129;113.073;28;12.5;15.5;20.717;18.3;1518;-0.983;37.067;31.01916667;20.18541667;1.7375;67.80958333;19.31875;12.09125;29.13625;11.54208333;2.75;1.299999952;1.299999952;1.299999952;1.299999952;3;4;7;3;65;66;64;1.700000048;1.399999976;1.100000024;1.700000048;3.200000048;2;1.299999952;2.5;6;5.900000095;6;6;22;21;21;22;3.700000048;35.90000153;226.1999969;15;14;13;15;28.79999924;16.20000076;12.39999962;20.70000076;221;201;214;212;218;223
E005;19.696;21.117;17.917;669;155;10;78.787;325;36;257;43;12.325;72.5;126.212;28.8;11.8;17;20.6;18.183;1664;-1.517;36.85;30.905;21.24791667;1.22125;64.10208333;20.56208333;12.24125;30.6975;12.33333333;3.072916667;1.200000048;1.200000048;1.299999952;1.200000048;7;8;13;7;46;48;44;1.799999952;1.200000048;0.899999976;1.299999952;2.799999952;2;1.200000048;2.299999952;6.800000191;6.800000191;6.900000095;6.800000191;40;38;37;40;4;40.79999924;235.1000061;18;16;15;16;22.29999924;14.39999962;11.19999981;16.10000038;219;212;207;210;216;223
E006;20.679;22.15;18.65;668;159;1;91.494;295;8;263;14;10.792;69.624;138.801;28.9;13.4;15.5;21.183;18.983;1284;-1.9;37.383;32.27208333;20.58958333;1.46375;65.59583333;22.10375;14.08291667;32.27541667;13.98333333;1.794166667;1.200000048;1.299999952;1.299999952;1.200000048;4;6;7;4;40;45;37;1.399999976;1.100000024;0.699999988;1.299999952;2.700000048;1.799999952;1;2.400000095;6.300000191;6.300000191;6.300000191;6.300000191;47;44;40;46;2.799999952;34;186.8999939;17;16;15;17;19;9.300000191;8.699999809;14.39999962;234;229;231;234;234;249
E007;19.692;20.833;18.05;1005;235;15;84.941;488;51;387;60;11.8;76.129;113.073;28;12.5;15.5;20.717;18.3;1518;-0.983;37.067;31.01916667;20.18541667;1.7375;67.80958333;19.31875;12.09125;29.13625;11.54208333;2.75;1.299999952;1.299999952;1.299999952;1.299999952;3;4;7;3;65;66;64;1.700000048;1.399999976;1.100000024;1.700000048;3.200000048;2;1.299999952;2.5;6;5.900000095;6;6;22;21;21;22;3.700000048;35.90000153;226.1999969;15;14;13;15;28.79999924;16.20000076;12.39999962;20.70000076;221;201;214;212;218;223
E008;19.583;20.367;18.8;945;140;26;39.682;317;126;252;269;15.067;83.704;62.316;29.1;11.1;18;20.283;19.883;1566;-0.001;35.959;29.94375;21.00208333;3.52375;70.45541667;18.38375;11.88458333;27.16375;10.4575;2.005;1.200000048;1.299999952;1.299999952;1.299999952;7;9;9;8;38;38;37;2.900000095;1.399999976;1;1.799999952;3.299999952;2;1.200000048;2.599999905;6.699999809;6.599999905;6.699999809;6.599999905;34;35;35;35;4.300000191;40.09999847;238;28;27;27;28;31.89999962;14.80000019;10.10000038;21.60000038;233;218;229;226;226;240
E009;17.962;19.033;16.95;991;151;18;53.552;385;87;227;366;13.375;80.572;83.152;27.1;10.5;16.6;16.967;18.5;1905;0.984;35.223;30.85416667;21.95083333;4.7175;76.2325;17.30458333;12.45333333;24.92041667;10.01333333;1.843333333;1.200000048;1.200000048;1.200000048;1.200000048;9;11;13;9;45;50;43;3.200000048;1.899999976;1.399999976;2;4;2.400000095;1.399999976;2.900000095;6.099999905;6.099999905;6.199999809;6.099999905;31;32;29;33;3.5;32.20000076;271.7999878;24;23;21;24;40.40000153;18.29999924;13.10000038;25.5;203;192;212;198;208;214
E010;25.621;27.25;23.717;1157;258;19;71.225;561;114;114;210;8.342;65.682;148.973;32.2;19.5;12.7;25.5;27.25;116;-4.17;39.57;35.115;20.655;2.247083333;73.13208333;26.39708333;20.56166667;34.17125;21.32375;3.31375;1.299999952;1.399999976;1.5;1.399999976;4;5;8;5;28;33;24;1.899999976;1;0.600000024;1.100000024;3.099999905;1.399999976;0.800000012;2;5.699999809;5.699999809;5.699999809;5.699999809;60;56;52;59;-1.100000024;-23;228.5;17;16;15;17;29.39999962;11.89999962;7.699999809;14.30000019;289;261;276;285;287;291
